gwno,year,month,sb_events,sb_deaths,ns_events,ns_deaths,os_events,os_deaths,provisional
626,2012,5,4,51,1,2,1,1,0
626,2012,7,0,0,0,0,2,1,0
626,2012,8,0,0,0,0,1,3,0
626,2012,10,1,5,1,2,0,0,0
626,2012,11,0,0,2,44,1,3,0
626,2012,12,1,8,4,78,10,49,0
626,2013,1,1,0,2,25,1,5,0
626,2013,2,2,1,1,99,0,0,0
626,2013,3,1,0,1,25,3,5,0
626,2013,4,1,2,0,0,4,12,0
626,2013,5,2,34,0,0,5,19,0
626,2013,7,0,0,1,19,0,0,0
626,2013,8,0,0,1,0,0,0,0
626,2013,10,1,40,1,3,0,0,0
626,2013,11,0,0,0,0,2,2,0
626,2013,12,31,850,3,44,35,642,0
626,2014,1,15,116,0,0,21,174,0
626,2014,2,12,163,1,10,13,39,0
626,2014,3,3,57,1,15,2,4,0
626,2014,4,8,576,0,0,4,386,0
626,2014,5,3,6,0,0,5,71,0
626,2014,6,1,21,0,0,3,2,0
626,2014,7,7,353,0,0,2,17,0
626,2014,8,3,161,0,0,1,0,0
626,2014,9,2,179,1,5,6,83,0
626,2014,10,3,5,0,0,1,11,0
626,2014,11,4,37,0,0,0,0,0
626,2014,12,3,0,0,0,0,0,0
626,2015,1,3,14,1,11,2,4,0
626,2015,2,4,63,1,100,1,7,0
626,2015,3,4,173,3,78,2,8,0
626,2015,4,3,41,0,0,19,92,0
626,2015,5,4,16,1,1,13,83,0
626,2015,6,1,0,1,9,6,17,0
626,2015,7,2,15,0,0,3,10,0
626,2015,9,2,30,0,0,2,6,0
626,2015,10,3,114,1,92,5,115,0
626,2015,11,7,27,0,0,0,0,0
626,2015,12,1,0,0,0,4,11,0
626,2016,1,0,0,1,62,2,2,0
626,2016,2,0,0,2,187,6,42,0
626,2016,3,2,7,0,0,0,0,0
626,2016,4,2,8,0,0,1,3,0
626,2016,5,0,0,0,0,1,1,0
626,2016,6,3,39,0,0,1,24,0
626,2016,7,9,346,0,0,9,32,0
626,2016,8,3,176,0,0,1,4,0
626,2016,9,0,0,0,0,6,19,0
626,2016,10,2,92,0,0,2,31,0
626,2016,11,6,53,0,0,1,7,0
626,2016,12,2,14,6,84,1,70,0
626,2017,1,9,25,1,12,8,23,0
626,2017,2,1,3,0,0,4,18,0
626,2017,3,3,23,0,0,3,12,0
626,2017,4,9,143,1,32,12,124,0
626,2017,5,2,4,2,75,6,31,0
626,2017,6,2,32,1,30,2,8,0
626,2017,7,4,33,1,31,6,9,0
626,2017,8,2,20,2,82,3,19,0
626,2017,9,3,32,0,0,0,0,0
626,2017,10,4,24,1,3,1,0,0
626,2017,11,4,83,2,53,2,3,0
626,2017,12,9,62,2,215,4,7,0
626,2018,1,7,31,0,0,4,13,0
626,2018,2,3,50,4,86,5,32,0
626,2018,3,6,15,1,22,3,2,0
626,2018,4,20,238,1,0,14,53,0
626,2018,5,6,46,0,0,7,57,0
626,2018,6,16,73,2,38,3,6,0
626,2018,7,6,11,3,137,2,5,0
626,2018,8,1,10,1,42,0,0,0
626,2018,9,7,25,5,28,3,5,0
626,2018,10,4,5,4,102,3,10,0
626,2018,11,0,0,2,25,5,5,0
626,2018,12,6,39,1,12,2,6,0
626,2019,1,5,48,8,49,2,8,0
626,2019,2,4,14,5,49,1,1,0
626,2019,3,2,3,4,70,2,0,0
626,2019,4,4,8,1,81,2,8,0
626,2019,5,1,2,2,45,2,7,0
626,2019,6,0,0,1,4,0,0,0
626,2019,7,1,8,2,21,3,5,0
626,2019,8,3,3,0,0,4,88,0
626,2019,9,1,16,1,11,0,0,0
626,2019,10,1,13,0,0,1,1,0
626,2019,11,0,0,3,79,0,0,0
626,2019,12,1,0,0,0,1,0,0
626,2020,1,1,2,2,51,1,1,0
626,2020,2,1,4,2,12,3,5,0
626,2020,3,0,0,2,35,0,0,0
626,2020,4,1,1,7,19,1,1,0
626,2020,5,3,9,2,315,2,4,0
626,2020,6,1,3,5,74,3,6,0
626,2020,7,3,9,5,127,2,5,0
626,2020,8,4,24,0,0,4,4,0
626,2020,9,1,1,4,23,0,0,0
626,2020,11,1,11,0,0,0,0,0
626,2020,12,1,0,0,0,1,2,0
626,2021,2,0,0,2,8,0,0,0
626,2021,3,3,4,5,47,1,21,0
626,2021,4,0,0,0,0,2,8,0
626,2021,5,2,9,3,219,1,4,0
626,2021,6,1,10,5,197,2,13,0
626,2021,7,2,5,2,38,0,0,0
626,2021,8,1,32,5,52,0,0,0
626,2021,9,1,65,3,17,0,0,0
626,2021,10,1,2,7,62,0,0,0
626,2021,12,3,61,3,17,0,0,0
626,2022,1,0,0,2,35,1,1,0
626,2022,2,2,21,0,0,1,1,0
626,2022,3,1,2,3,37,4,6,0
626,2022,4,0,0,1,26,1,35,0
626,2022,5,0,0,1,2,2,10,0
626,2022,6,0,0,1,13,1,1,0
626,2022,7,1,0,1,235,2,39,0
626,2022,8,0,0,5,127,0,0,0
626,2022,9,0,0,1,50,0,0,0
626,2022,10,0,0,2,20,0,0,0
626,2022,12,0,0,3,80,0,0,0
626,2023,1,0,0,1,18,1,37,0
626,2023,2,2,2,3,158,0,0,0
626,2023,6,0,0,1,8,0,0,0
626,2023,7,0,0,0,0,1,0,0
626,2023,9,0,0,0,0,1,1,0
626,2024,1,0,0,2,83,1,39,0
626,2024,2,0,0,3,363,0,0,0
626,2024,3,1,17,1,7,0,0,0
626,2024,4,0,0,1,30,0,0,0
626,2024,5,1,4,0,0,0,0,0
626,2024,7,0,0,1,114,0,0,0
626,2024,8,2,4,0,0,0,0,0
626,2024,12,0,0,2,36,0,0,0
626,2025,1,0,0,4,63,4,10,0
626,2025,2,0,0,1,14,0,0,0
626,2025,3,0,0,3,233,2,2,0
626,2025,4,1,29,0,0,0,0,0
626,2025,5,7,106,0,0,0,0,0
626,2025,6,1,4,0,0,0,0,0
626,2025,7,1,1,2,2,0,0,0
626,2025,8,3,11,0,0,0,0,0
626,2025,9,8,76,1,16,0,0,0
626,2025,10,4,21,2,33,1,2,0
626,2025,11,3,6,0,0,1,4,0
626,2025,12,3,28,0,0,0,0,0
626,2026,1,5,88,2,20,0,0,1
626,2026,2,3,20,0,0,3,27,1
626,2026,3,1,13,2,34,2,81,1
626,2026,4,0,0,3,23,0,0,1
626,2026,5,0,0,3,26,1,17,1
630,1990,4,1,0,0,0,0,0,0
630,1990,5,1,1,0,0,0,0,0
