gwno,year,battle_deaths
640,1996,5250
640,1997,4200
640,1998,2100
640,2002,50
640,2003,83
640,2004,166
640,2005,454
640,2006,210
640,2007,424
640,2008,580
645,1948,3298
645,1949,219
645,1959,2000
645,1974,217
645,1980,17800
645,1981,47775
645,1982,47805
645,1983,47865
645,1984,32250
645,1985,32225
645,1986,32225
645,1987,32261
645,1988,32225
645,1990,400
645,1991,14122
645,2003,3385
645,2004,20284
645,2005,21615
645,2006,35071
645,2007,33266
645,2008,13766
651,1948,3298
651,1949,219
651,1951,47
651,1952,44
651,1956,535
651,1967,1668
651,1969,1465
651,1970,1295
651,1973,3225
651,1993,102
651,1994,286
651,1995,375
651,1996,80
651,1997,45
651,1998,30
652,1948,3298
652,1949,219
652,1966,200
652,1967,363
652,1973,2317
660,1948,3298
660,1949,219
660,1958,1400
660,1975,9500
660,1976,62000
660,1982,34200
660,1983,6000
660,1984,6000
660,1985,6000
660,1986,6000
660,1989,7150
660,1990,7150
663,1948,3298
663,1949,219
663,1967,674
666,1946,92
666,1948,3298
666,1949,475
666,1950,256
666,1951,256
666,1952,256
666,1953,256
666,1954,256
666,1955,256
666,1956,791
666,1957,256
666,1958,256
666,1959,256
666,1960,256
666,1961,256
666,1962,256
666,1963,256
666,1964,256
666,1965,256
666,1966,256
666,1967,2961
666,1968,256
666,1969,1721
666,1970,1551
666,1971,256
666,1972,257
666,1973,5799
666,1974,257
666,1975,257
666,1976,257
666,1977,257
666,1978,257
666,1979,257
666,1980,257
666,1981,257
666,1982,257
666,1983,257
666,1984,257
666,1985,257
666,1986,257
666,1987,257
666,1988,322
666,1989,336
666,1990,197
666,1991,163
666,1992,197
666,1993,311
666,1994,151
666,1995,174
666,1996,80
666,1997,100
666,1998,50
666,1999,25
666,2000,658
666,2001,1451
666,2002,390
666,2003,767
666,2004,927
666,2005,240
666,2006,1986
666,2007,726
666,2008,486
670,1979,269
678,1948,4000
678,1972,100
680,1964,25
680,1965,100
680,1966,175
680,1967,271
680,1972,100
690,1990,400
690,1991,14122
698,1972,239
698,1973,240
698,1974,240
698,1975,240
700,1978,15000
700,1979,30000
700,1980,35000
700,1981,30000
700,1982,35000
700,1983,55000
700,1984,80000
700,1985,65000
700,1986,60000
700,1987,45000
700,1988,30000
700,1989,15000
700,1994,10000
700,1995,5000
700,1996,5000
700,1997,3000
700,1998,7000
700,2001,2877
700,2003,1200
700,2004,621
700,2005,1268
700,2006,3154
700,2007,6233
700,2008,4489
702,1992,10000
702,1993,16000
702,1994,3200
702,1995,500
702,1996,300
702,1998,200
704,1999,56
704,2000,200
704,2004,47
710,1946,200000
710,1947,301000
710,1948,350000
710,1949,350000
710,1950,4000
710,1954,500
710,1956,4000
710,1959,12000
710,1962,1052
710,1969,304
710,1978,27
710,1979,22500
710,1980,100
710,1984,250
710,1988,50
713,1954,500
731,1950,248750
731,1951,174125
731,1952,49750
731,1953,24875
732,1950,248750
732,1951,174125
732,1952,49750
732,1953,24875
750,1948,6110
750,1956,781
750,1957,781
750,1962,1052
750,1965,2500
750,1966,500
750,1967,500
750,1968,500
750,1969,82
750,1970,82
750,1971,5694
750,1981,125
750,1982,125
750,1983,125
750,1984,125
750,1985,198
750,1986,761
750,1987,1508
750,1988,2557
750,1989,2252
750,1990,5853
750,1991,7178
750,1992,6666
750,1993,4566
750,1994,3919
750,1995,3799
750,1996,4360
750,1997,4422
750,1998,4204
750,1999,4658
750,2000,5451
750,2001,5784
750,2002,3824
750,2003,3947
750,2004,2861
750,2005,3198
750,2006,2477
750,2007,2350
750,2008,1962
770,1948,3750
770,1965,2500
